Chromosome	chromStart	chromEnd	GeneName	AVSLBP	AVFB25	AVFB50	AVPPMPl0	AVPPMP20	AVPDMP10	AVPDMP20	IDinTL	previously.identfied
chr1	0	1000000	E9Q769	1	-1	-1	-1	-1	-1	-1	1	0
chr1	1000000	2000000	F6V6T4	1	0	-1	0	0	0	0	0	0
chr1	2000000	3000000	Q6GV12	1	0	0	0	0	0	0	0	0
chr1	3000000	4000000	E9PW03	1	-1	-1	0	0	-1	0	0	2
chr1	4000000	5000000	P20060	1	1	1	0	-1	0	0	0	2
chr1	5000000	6000000	Q6P9J9	1	-1	-1	0	0	-1	-1	1	2
chr1	6000000	7000000	Q9QWR8	1	1	1	0	-1	0	0	0	2
chr1	7000000	8000000	O35704	1	-1	0	0	0	0	0	0	1
chr1	8000000	9000000	Q5F1Z8	1	1	1	-1	-1	0	0	0	1
chr1	9000000	10000000	E9PVY4	1	0	1	-1	-1	0	0	0	3
chr1	10000000	11000000	E9PZ00	1	0	0	1	1	0	0	0	3
chr1	11000000	12000000	F7AF87	1	1	1	1	0	0	0	0	3
chr1	12000000	13000000	O09005	1	-1	-1	-1	-1	0	0	0	3
chr1	13000000	14000000	P17439	1	1	1	0	-1	0	0	0	3
chr1	14000000	15000000	P18242	1	0	0	0	0	0	0	0	3
chr1	15000000	16000000	P29416	1	1	1	0	0	0	0	0	3
chr1	16000000	17000000	P53811	1	0	0	-1	-1	0	0	0	3
chr1	17000000	18000000	Q3TCN2	1	1	1	0	0	0	0	0	3
chr1	18000000	19000000	Q8R3H7	1	-1	-1	0	0	0	0	0	3
chr1	19000000	20000000	E9PW67	1	1	0	0	0	0	0	0	3
chr1	20000000	21000000	P20352	1	-1	-1	0	-1	-1	0	0	0
chr1	21000000	22000000	Q9CY50	1	-1	-1	0	0	0	0	0	3
chr1	22000000	23000000	Q80V26	1	-1	-1	0	0	0	0	0	3
chr1	23000000	24000000	F7BWT7	1	-1	-1	0	0	0	0	0	0
chr1	24000000	25000000	F8WHE3	1	-1	0	0	0	0	0	0	0
chr1	25000000	26000000	P15920	1	0	0	0	0	0	0	0	0
chr1	26000000	27000000	Q3TY98	1	0	-1	0	0	0	0	0	0
chr1	27000000	28000000	Q5XF89	1	-1	-1	0	-1	-1	0	0	0
chr1	28000000	29000000	Q99J27	1	0	-1	0	0	-1	-1	1	0
chr1	29000000	30000000	Q9JKZ2	1	-1	-1	0	0	0	0	0	0
chr1	30000000	31000000	Q6AXE3	1	1	-1	0	0	0	-1	1	0
chr1	31000000	32000000	Q91V35	1	-1	-1	0	-1	0	0	0	2
chr1	32000000	33000000	Q9JKK1	1	-1	-1	0	0	-1	-1	1	2
chr1	33000000	34000000	E9QLA4	1	1	1	0	0	0	1	1	1
