	Chromosome	chromStart	chromEnd	GeneName	AVSLBP	AVFB25	AVFB50	AVPPMPl0	AVPPMP20	AVPDMP10	AVPDMP20	IDinTL	previously.identfied
1	chr1	0	800000	E9Q769	1	-1	-1	-1	-1	-1	-1	1	0
2	chr1	800001	1600001	F6V6T4	1	0	-1	0	0	0	0	0	0
3	chr1	1600002	2400002	Q6GV12	1	0	0	0	0	0	0	0	0
4	chr1	2400003	3200003	E9PW03	1	-1	-1	0	0	-1	0	0	2
5	chr1	3200004	4000004	P20060	1	1	1	0	-1	0	0	0	2
6	chr1	4000005	4800005	Q6P9J9	1	-1	-1	0	0	-1	-1	1	2
7	chr1	4800006	5600006	Q9QWR8	1	1	1	0	-1	0	0	0	2
8	chr1	5600007	6400007	O35704	1	-1	0	0	0	0	0	0	1
9	chr1	6400008	7200008	Q5F1Z8	1	1	1	-1	-1	0	0	0	1
10	chr1	7200009	8000009	E9PVY4	1	0	1	-1	-1	0	0	0	3
11	chr1	8000010	8800010	E9PZ00	1	0	0	1	1	0	0	0	3
12	chr1	8800011	9600011	F7AF87	1	1	1	1	0	0	0	0	3
13	chr1	9600012	10400012	O09005	1	-1	-1	-1	-1	0	0	0	3
14	chr1	10400013	11200013	P17439	1	1	1	0	-1	0	0	0	3
15	chr1	11200014	12000014	P18242	1	0	0	0	0	0	0	0	3
16	chr1	12000015	12800015	P29416	1	1	1	N/A	N/A	0	0	0	3
17	chr1	12800016	13600016	P53811	1	0	0	-1	-1	0	0	0	3
18	chr1	13600017	14400017	Q3TCN2	1	1	1	N/A	N/A	0	0	0	3
19	chr1	14400018	15200018	Q8R3H7	1	-1	-1	0	0	0	0	0	3
20	chr1	15200019	16000019	E9PW67	1	1	0	0	0	0	0	0	3
21	chr1	16000020	16800020	P20352	1	-1	-1	0	-1	-1	0	0	0
22	chr1	16800021	17600021	Q9CY50	1	-1	-1	0	0	0	0	0	3
23	chr1	17600022	18400022	Q80V26	1	-1	-1	0	0	0	0	0	3
24	chr1	18400023	19200023	F7BWT7	1	-1	-1	0	0	0	0	0	0
25	chr1	19200024	20000024	F8WHE3	1	-1	0	0	0	0	0	0	0
26	chr1	20000025	20800025	P15920	1	0	0	0	0	0	0	0	0
27	chr1	20800026	21600026	Q3TY98	1	0	-1	0	0	0	0	0	0
28	chr1	21600027	22400027	Q5XF89	1	-1	-1	0	-1	-1	0	0	0
29	chr1	22400028	23200028	Q99J27	1	0	-1	0	0	-1	-1	1	0
30	chr1	23200029	24000029	Q9JKZ2	1	-1	-1	0	0	0	0	0	0
31	chr1	24000030	24800030	Q6AXE3	1	1	-1	N/A	N/A	0	-1	1	0
32	chr1	24800031	25600031	Q91V35	1	-1	-1	0	-1	0	0	0	2
33	chr1	25600032	26400032	Q9JKK1	1	-1	-1	0	0	-1	-1	1	2
34	chr1	26400033	27200033	E9QLA4	1	1	1	0	0	0	1	1	1
35	chr1	27200034	28000034	F7C5V8	1	0	0	0	1	0	0	0	1
36	chr1	28000035	28800035	E9PYL7	1	0	0	1	1	0	0	0	1
37	chr1	28800036	29600036	E9Q035	1	-1	-1	-1	0	0	0	0	3
38	chr1	29600037	30400037	Q8CFE6	1	-1	-1	0	0	0	0	0	3
39	chr1	30400038	31200038	A2A5I1	1	-1	-1	0	-1	0	0	0	0
40	chr1	31200039	32000039	A2A848	1	0	0	0	-1	0	0	0	0
41	chr1	32000040	32800040	A2A8T9	1	-1	-1	0	-1	0	0	0	0
42	chr1	32800041	33600041	A2A9F5	1	0	0	1	1	1	0	0	0
43	chr1	33600042	34400042	A2AG39	1	0	0	N/A	N/A	N/A	N/A	N/A	0
44	chr1	34400043	35200043	A2AJF6	1	-1	0	0	0	0	0	0	0
45	chr1	35200044	36000044	A2ATK9	1	-1	-1	0	-1	-1	-1	1	0
46	chr1	36000045	36800045	A2AW86	1	0	0	0	0	0	-1	1	0
47	chr1	36800046	37600046	A3KG01	1	0	0	0	0	0	1	1	0
48	chr1	37600047	38400047	B1ATZ4	1	0	0	0	0	0	0	0	0
49	chr1	38400048	39200048	B2RS80	1	-1	-1	0	0	0	0	0	0
50	chr1	39200049	40000049	B2RUR3	1	0	-1	0	0	-1	-1	1	0
51	chr1	40000050	40800050	D3YYS8	1	-1	0	0	0	0	0	0	0
52	chr1	40800051	41600051	D3Z3F8	1	0	0	1	1	0	1	1	0
53	chr1	41600052	42400052	D3Z458	1	-1	-1	0	0	0	0	0	0
