Chromosome	chromStart	chromEnd	GeneName	AVSLBP	AVFB25	AVFB50	AVPPMPl0	AVPPMP20	AVPDMP10	AVPDMP20	IDinTL	previously.identfied
chr1	0	100000	E9Q769	1	-1	-1	-1	-1	-1	-1	1	0
chr1	100000	200000	F6V6T4	1	0	-1	0	0	0	0	0	0
chr1	200000	300000	Q6GV12	1	0	0	0	0	0	0	0	0
chr1	300000	400000	E9PW03	1	-1	-1	0	0	-1	0	0	2
chr1	400000	500000	P20060	1	1	1	0	-1	0	0	0	2
chr1	500000	600000	Q6P9J9	1	-1	-1	0	0	-1	-1	1	2
chr1	600000	700000	Q9QWR8	1	1	1	0	-1	0	0	0	2
chr1	700000	800000	O35704	1	-1	0	0	0	0	0	0	1
chr1	800000	900000	Q5F1Z8	1	1	1	-1	-1	0	0	0	1
chr1	900000	1000000	E9PVY4	1	0	1	-1	-1	0	0	0	3
chr1	1000000	1100000	E9PZ00	1	0	0	1	1	0	0	0	3
chr1	1100000	1200000	F7AF87	1	1	1	1	0	0	0	0	3
chr1	1200000	1300000	O09005	1	-1	-1	-1	-1	0	0	0	3
chr1	1300000	1400000	P17439	1	1	1	0	-1	0	0	0	3
chr1	1400000	1500000	P18242	1	0	0	0	0	0	0	0	3
chr1	1500000	1600000	P29416	1	1	1	0	0	0	0	0	3
chr1	1600000	1700000	P53811	1	0	0	-1	-1	0	0	0	3
chr1	1700000	1800000	Q3TCN2	1	1	1	0	0	0	0	0	3
chr1	1800000	1900000	Q8R3H7	1	-1	-1	0	0	0	0	0	3
chr1	1900000	2000000	E9PW67	1	1	0	0	0	0	0	0	3
chr1	2000000	2100000	P20352	1	-1	-1	0	-1	-1	0	0	0
chr1	2100000	2200000	Q9CY50	1	-1	-1	0	0	0	0	0	3
chr1	2200000	2300000	Q80V26	1	-1	-1	0	0	0	0	0	3
chr1	2300000	2400000	F7BWT7	1	-1	-1	0	0	0	0	0	0
chr1	2400000	2500000	F8WHE3	1	-1	0	0	0	0	0	0	0
chr1	2500000	2600000	P15920	1	0	0	0	0	0	0	0	0
chr1	2600000	2700000	Q3TY98	1	0	-1	0	0	0	0	0	0
chr1	2700000	2800000	Q5XF89	1	-1	-1	0	-1	-1	0	0	0
chr1	2800000	2900000	Q99J27	1	0	-1	0	0	-1	-1	1	0
chr1	2900000	3000000	Q9JKZ2	1	-1	-1	0	0	0	0	0	0
chr1	3000000	3100000	Q6AXE3	1	1	-1	0	0	0	-1	1	0
chr1	3100000	3200000	Q91V35	1	-1	-1	0	-1	0	0	0	2
chr1	3200000	3300000	Q9JKK1	1	-1	-1	0	0	-1	-1	1	2
chr1	3300000	3400000	E9QLA4	1	1	1	0	0	0	1	1	1
chr1	3400000	3500000	F7C5V8	1	0	0	0	1	0	0	0	1
chr1	3500000	3600000	E9PYL7	1	0	0	1	1	0	0	0	1
chr1	3600000	3700000	E9Q035	1	-1	-1	-1	0	0	0	0	3
chr1	3700000	3800000	Q8CFE6	1	-1	-1	0	0	0	0	0	3
chr1	3800000	3900000	A2A5I1	1	-1	-1	0	-1	0	0	0	0
chr1	3900000	4000000	A2A848	1	0	0	0	-1	0	0	0	0
chr1	4000000	4100000	A2A8T9	1	-1	-1	0	-1	0	0	0	0
chr1	4100000	4200000	A2A9F5	1	0	0	1	1	1	0	0	0
chr1	4200000	4300000	A2AG39	1	0	0	0	0	0	0	0	0
chr1	4300000	4400000	A2AJF6	1	-1	0	0	0	0	0	0	0
chr1	4400000	4500000	A2ATK9	1	-1	-1	0	-1	-1	-1	1	0
chr1	4500000	4600000	A2AW86	1	0	0	0	0	0	-1	1	0
chr1	4600000	4700000	A3KG01	1	0	0	0	0	0	1	1	0
chr1	4700000	4800000	B1ATZ4	1	0	0	0	0	0	0	0	0
chr1	4800000	4900000	B2RS80	1	-1	-1	0	0	0	0	0	0
chr1	4900000	5000000	B2RUR3	1	0	-1	0	0	-1	-1	1	0
chr1	5000000	5100000	D3YYS8	1	-1	0	0	0	0	0	0	0
chr1	5100000	5200000	D3Z3F8	1	0	0	1	1	0	1	1	0
chr1	5200000	5300000	D3Z458	1	-1	-1	0	0	0	0	0	0
chr1	5300000	5400000	D3Z512	1	1	1	0	-1	0	0	0	0
chr1	5400000	5500000	D3Z5U5	1	0	0	0	0	1	1	1	0
chr1	5500000	5600000	D6RH67	1	-1	-1	0	0	0	1	1	0
chr1	5600000	5700000	E9PWW2	1	0	0	0	0	0	0	0	0
chr1	5700000	5800000	E9Q0W5	1	-1	-1	-1	-1	0	0	0	0
chr1	5800000	5900000	E9Q6H1	1	1	1	0	0	1	0	0	0
chr1	5900000	6000000	E9QM60	1	1	1	-1	-1	0	0	0	0
chr1	6000000	6100000	F6R7Y0	1	1	1	0	0	1	0	0	0
chr1	6100000	6200000	F6TFF2	1	0	0	-1	-1	0	-1	1	0
chr1	6200000	6300000	F6Z4J2	1	-1	-1	-1	-1	-1	-1	1	0
chr1	6300000	6400000	F6ZD38	1	1	0	-1	-1	0	0	0	0
chr1	6400000	6500000	F8VPK8	1	-1	-1	0	-1	-1	-1	1	0
chr1	6500000	6600000	F8VQJ6	1	0	0	-1	-1	0	0	0	0
chr1	6600000	6700000	F8WII5	1	1	0	0	-1	0	0	0	0
chr1	6700000	6800000	G3UX26	1	0	0	0	0	0	0	0	0
chr1	6800000	6900000	G3UY29	1	-1	-1	0	0	0	0	0	0
chr1	6900000	7000000	H3BL09	1	-1	-1	0	0	-1	0	0	0
chr1	7000000	7100000	O35459	1	0	0	0	0	0	0	0	0
chr1	7100000	7200000	O35566	1	-1	-1	-1	-1	0	0	0	0
chr1	7200000	7300000	O35607	1	-1	-1	0	-1	-1	-1	1	0
chr1	7300000	7400000	O88792	1	0	0	0	0	0	0	0	0
chr1	7400000	7500000	P0C5E4	1	-1	-1	0	0	-1	0	0	0
chr1	7500000	7600000	P30558	1	-1	-1	1	0	0	1	1	0
chr1	7600000	7700000	P35279	1	0	0	1	1	0	0	0	0
chr1	7700000	7800000	P35290	1	-1	-1	0	0	0	0	0	0
chr1	7800000	7900000	P37889	1	0	0	0	0	0	0	0	0
chr1	7900000	8000000	P40237	1	-1	-1	0	-1	-1	-1	1	0
chr1	8000000	8100000	P49282	1	0	0	1	1	0	0	0	0
chr1	8100000	8200000	P51174	1	0	0	1	1	0	0	0	0
chr1	8200000	8300000	P52875	1	-1	-1	0	0	0	0	0	0
chr1	8300000	8400000	P55012	1	-1	-1	0	0	0	0	0	0
chr1	8400000	8500000	P57716	1	0	0	0	-1	0	0	0	0
chr1	8500000	8600000	P57787	1	-1	-1	-1	-1	0	-1	1	0
chr1	8600000	8700000	P61750	1	0	0	0	1	0	0	0	0
chr1	8700000	8800000	Q05DV1	1	-1	-1	-1	-1	0	0	0	0
chr1	8800000	8900000	Q09143	1	-1	-1	0	0	0	0	0	0
chr1	8900000	9000000	Q148Z6	1	0	0	0	0	0	0	0	0
chr1	9000000	9100000	Q3TCL6	1	-1	-1	0	0	-1	-1	1	0
chr1	9100000	9200000	Q3TJQ2	1	0	-1	0	0	0	0	0	0
chr1	9200000	9300000	Q3TNH0	1	-1	-1	0	0	0	0	0	0
chr1	9300000	9400000	Q3TPR7	1	1	0	1	0	-1	-1	1	0
chr1	9400000	9500000	Q3TWN7	1	-1	0	0	1	0	-1	1	0
chr1	9500000	9600000	Q3U2B2	1	0	0	0	0	0	-1	1	0
chr1	9600000	9700000	Q3U967	1	-1	-1	0	0	-1	-1	1	0
