Accession	Protein name	Molecular Weight	pacFA.hit
A2AFI3	RNA binding motif protein, X chromosome OS=Mus musculus GN=Rbmx PE=4 SV=1	33 kDa	0
A2AGR5	Acid phosphatase 2 lysosomal OS=Mus musculus GN=Acp2 PE=4 SV=1	49 kDa	0
A2BFA6	Alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB) OS=Mus musculus GN=Naglu PE=4 SV=1	83 kDa	0
E9PVK3	Beta-galactosidase OS=Mus musculus GN=Glb1 PE=3 SV=1	68 kDa	0
E9PVS1	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Mus musculus GN=Itih3 PE=4 SV=1	78 kDa	0
E9PVY4	Palmitoyl-protein thioesterase 1 OS=Mus musculus GN=Ppt1 PE=4 SV=1	34 kDa	0
E9PWB2	Casein kinase I isoform alpha OS=Mus musculus GN=Csnk1a1 PE=3 SV=1	43 kDa	0
F8WI52	Vang-like protein 1 OS=Mus musculus GN=Vangl1 PE=4 SV=1	44 kDa	0
F8WI98	Chondrocalcin OS=Mus musculus GN=Col2a1 PE=4 SV=1	138 kDa	0
G5E899	Plasminogen activator inhibitor 1 OS=Mus musculus GN=Serpine1 PE=3 SV=1	45 kDa	0
O35887	Calumenin OS=Mus musculus GN=Calu PE=1 SV=1	37 kDa	0
O54965	E3 ubiquitin-protein ligase RNF13 OS=Mus musculus GN=Rnf13 PE=1 SV=2	43 kDa	0
P10605	Cathepsin B OS=Mus musculus GN=Ctsb PE=1 SV=2	37 kDa	0
P17439	Glucosylceramidase OS=Mus musculus GN=Gba PE=1 SV=1	58 kDa	0
P18406	Protein CYR61 OS=Mus musculus GN=Cyr61 PE=1 SV=1	42 kDa	0
P29416	Beta-hexosaminidase subunit alpha OS=Mus musculus GN=Hexa PE=2 SV=2	61 kDa	0
P52800	Ephrin-B2 OS=Mus musculus GN=Efnb2 PE=1 SV=1	37 kDa	0
P55288	Cadherin-11 OS=Mus musculus GN=Cdh11 PE=1 SV=1	88 kDa	0
